date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,absl_open,absl_high,absl_low,absl_close,source,fetch_timestamp,status,notes
2026-04-01,22899.0,22941.3008,22618.5996,22679.4004,27.89,27.89,23.65,25.01,439.3943,439.3943,439.3943,439.3943,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-02,22383.4004,22782.3008,22182.5508,22713.0996,25.01,26.6,25.01,25.52,440.0432,440.0432,440.0432,440.0432,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-06,22780.3008,22998.3496,22542.9492,22968.25,25.52,26.56,25.08,25.47,440.4112,440.4112,440.4112,440.4112,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-07,22838.6992,23153.8496,22719.3008,23123.6504,25.47,26.26,24.55,24.7,440.5133,440.5133,440.5133,440.5133,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-08,23855.1504,24025.1504,23828.5,23997.3496,24.7,24.7,19.31,19.7,440.6694,440.6694,440.6694,440.6694,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-09,23909.0508,23990.75,23682.8008,23775.0996,19.7,20.94,19.17,20.43,440.8527,440.8527,440.8527,440.8527,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-10,23880.5508,24074.0508,23856.3496,24050.5996,20.43,20.43,18.37,18.85,440.967,440.967,440.967,440.967,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-13,23589.5996,23907.4004,23555.5996,23842.6504,18.85,21.51,18.18,20.5,441.2371,441.2371,441.2371,441.2371,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-15,24163.8008,24280.9004,24145.8008,24231.3008,20.5,20.5,17.34,18.67,441.4023,441.4023,441.4023,441.4023,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-16,24385.1992,24400.9492,24102.8008,24196.75,18.67,18.67,16.83,18.09,441.4963,441.4963,441.4963,441.4963,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-17,24165.9004,24371.9004,24096.0508,24353.5508,18.09,18.47,16.59,17.21,441.5516,441.5516,441.5516,441.5516,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-20,24391.5,24480.6504,24241.25,24364.8496,17.21,19.01,16.48,18.79,441.7526,441.7526,441.7526,441.7526,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-21,24374.5508,24601.6992,24354.9004,24576.5996,18.79,18.79,17.45,17.53,441.8038,441.8038,441.8038,441.8038,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-22,24470.8496,24515.9492,24352.9004,24378.0996,17.53,18.73,17.25,18.3,441.842,441.842,441.842,441.842,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-23,24202.3496,24310.1992,24134.8008,24173.0508,18.3,19.12,17.49,18.59,441.8877,441.8877,441.8877,441.8877,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-24,24100.5508,24206.0,23813.6504,23897.9492,18.59,19.9,18.06,19.71,441.9442,441.9442,441.9442,441.9442,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-27,23945.4492,24130.6992,23936.1992,24092.6992,19.71,19.71,18.27,18.38,442.0941,442.0941,442.0941,442.0941,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-28,24049.9004,24181.8008,23957.0508,23995.6992,18.38,18.41,17.27,18.05,442.1449,442.1449,442.1449,442.1449,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-29,24096.9004,24334.6992,24059.9492,24177.6504,18.05,18.05,16.75,17.44,442.2016,442.2016,442.2016,442.2016,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-30,23996.9492,24087.4492,23796.8496,23997.5508,17.44,19.48,17.19,18.46,442.2387,442.2387,442.2387,442.2387,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-04,24063.5508,24290.1992,24004.75,24119.3008,18.46,18.88,16.75,18.3,442.5274,442.5274,442.5274,442.5274,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-05,24052.5996,24081.6992,23882.0508,24032.8008,18.3,18.84,17.71,17.91,442.5896,442.5896,442.5896,442.5896,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-06,24171.0,24356.5,23997.9004,24330.9492,17.91,18.08,16.58,16.68,442.666,442.666,442.666,442.666,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-07,24398.5,24482.0996,24284.0,24326.6504,16.68,17.2,15.17,16.62,442.7346,442.7346,442.7346,442.7346,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-08,24233.6504,24253.8008,24126.6504,24176.1504,16.62,17.43,16.16,16.84,442.8032,442.8032,442.8032,442.8032,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-11,23970.0996,23997.4492,23799.0996,23815.8496,16.84,18.97,16.84,18.55,442.9998,442.9998,442.9998,442.9998,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-12,23722.5996,23757.5508,23348.4004,23379.5508,18.55,19.46,17.63,19.28,443.0559,443.0559,443.0559,443.0559,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-13,23362.4492,23582.9492,23262.5508,23412.5996,19.28,20.13,18.36,19.43,443.1075,443.1075,443.1075,443.1075,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-14,23530.25,23777.1992,23426.5508,23689.5996,19.43,19.43,18.39,18.61,443.14,443.14,443.14,443.14,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-15,23731.4004,23839.3008,23610.3008,23643.5,18.61,19.01,17.42,18.79,443.1977,443.1977,443.1977,443.1977,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-18,23482.1992,23695.6504,23317.0996,23649.9492,18.79,20.06,17.72,19.63,443.3933,443.3933,443.3933,443.3933,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-19,23675.3008,23782.3008,23587.1992,23618.0,19.63,19.63,18.27,18.68,443.4551,443.4551,443.4551,443.4551,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-20,23457.25,23690.9004,23397.3008,23659.0,18.68,19.46,18.06,18.44,443.5032,443.5032,443.5032,443.5032,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-21,23830.0508,23859.9004,23596.5996,23654.6992,18.44,18.44,17.43,17.82,443.5408,443.5408,443.5408,443.5408,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-22,23671.1992,23835.6504,23671.0,23719.3008,17.82,19.03,16.47,17.91,443.6132,443.6132,443.6132,443.6132,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-25,23940.25,24054.4492,23922.8496,24031.6992,17.91,17.91,16.39,16.7,443.8271,443.8271,443.8271,443.8271,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-26,24004.0996,24089.8008,23885.4492,23913.6992,16.7,16.96,15.36,16.13,443.8825,443.8825,443.8825,443.8825,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-27,23880.3496,23983.1992,23858.25,23907.1504,16.13,16.33,14.7,14.98,443.9652,443.9652,443.9652,443.9652,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-29,23902.1504,24002.8008,23484.75,23547.75,14.98,16.55,14.59,16.19,444.204,444.204,444.204,444.204,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-01,23654.5,23733.6992,23357.9492,23382.5996,16.19,16.92,13.91,16.54,444.4633,444.4633,444.4633,444.4633,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-02,23229.1504,23556.9492,23229.1504,23483.5508,16.54,16.54,15.12,15.36,444.5263,444.5263,444.5263,444.5263,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-03,23415.9492,23459.6504,23151.5,23405.5996,15.36,16.98,14.85,16.28,444.5941,444.5941,444.5941,444.5941,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-04,23282.4492,23465.3008,23247.3008,23416.5508,16.28,16.41,15.53,15.89,444.6967,444.6967,444.6967,444.6967,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-05,23478.9492,23516.3496,23282.6504,23366.6992,15.89,16.37,13.46,15.79,444.8351,444.8351,444.8351,444.8351,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-08,23080.6992,23267.3008,23070.1504,23123.0,15.79,18.44,15.79,17.03,445.1031,445.1031,445.1031,445.1031,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-09,23259.0508,23279.4004,23104.4492,23242.0996,17.03,17.03,15.52,15.58,445.277,445.277,445.277,445.277,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-10,23233.9492,23425.3496,23184.5996,23214.9492,15.58,15.85,14.9,15.63,445.3596,445.3596,445.3596,445.3596,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-11,23104.4004,23327.4492,23072.0508,23161.5996,15.63,15.95,15.12,15.61,445.445,445.445,445.445,445.445,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-12,23412.5508,23645.3496,23313.9004,23622.9004,15.61,15.61,14.4,14.72,445.5545,445.5545,445.5545,445.5545,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-15,23984.8496,24011.4004,23817.8008,23853.9004,14.72,14.72,13.56,14.35,445.8707,445.8707,445.8707,445.8707,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-16,23923.9004,24002.5996,23888.1992,23989.1504,14.35,14.35,13.01,13.36,446.0333,446.0333,446.0333,446.0333,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-17,24044.5,24108.1992,23969.6992,24085.6992,13.36,13.53,12.35,13.19,446.0885,446.0885,446.0885,446.0885,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-18,24073.8008,24189.25,24036.9492,24168.0,13.19,13.23,11.99,12.67,446.1776,446.1776,446.1776,446.1776,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-19,23991.1992,24047.1992,23901.9004,24013.0996,12.67,13.64,12.07,12.97,446.2469,446.2469,446.2469,446.2469,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-22,24106.5996,24168.0508,24073.1504,24102.9004,12.97,13.51,12.65,12.84,446.4644,446.4644,446.4644,446.4644,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-23,24071.3008,24135.5,23784.9492,23824.0996,12.84,14.24,12.43,13.94,446.5292,446.5292,446.5292,446.5292,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-24,23795.8008,24090.0508,23789.25,24021.6504,13.94,14.3,13.3,13.39,446.6178,446.6178,446.6178,446.6178,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-25,24125.8496,24261.5996,24039.0,24056.0,13.39,13.39,12.43,13.05,446.7252,446.7252,446.7252,446.7252,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-06-29,24061.75,24120.0,23924.5508,23946.25,13.05,14.07,12.9175,13.61,0.0,0.0,0.0,446.8007,Yahoo Finance,2026-06-29T22:15:41+05:30,OK,ABSL NAV as of 2026-06-26 (Yahoo fund NAV lags index by a day)
2026-06-30,24032.0508,24035.5508,23829.1992,23865.75,13.61,13.9675,13.1525,13.6,0.0,0.0,0.0,447.0056,Yahoo Finance,2026-06-30T21:35:10+05:30,OK,ABSL NAV as of 2026-06-29 (Yahoo fund NAV lags index by a day)
2026-07-01,23897.6504,24049.9004,23895.0996,24005.8496,13.6,14.0725,13.15,13.2425,0.0,0.0,0.0,447.2825,Yahoo Finance,2026-07-01T21:36:30+05:30,OK,ABSL NAV as of 2026-06-30 (Yahoo fund NAV lags index by a day)
2026-07-02,24062.1992,24194.5508,24058.8008,24175.6992,13.2425,13.2925,12.1925,12.2875,0.0,0.0,0.0,447.4729,Yahoo Finance,2026-07-02T21:10:38+05:30,OK,ABSL NAV as of 2026-07-01 (Yahoo fund NAV lags index by a day)
